# EXPERIMENTO: Suma en paralelo
# HARDWARE: 2 F / 4 L
# ESFUERZO: Aleatorio entre 1 y 50
# ELEMENTOS: 1000000
# 
TIPO,WORKERS,TIEMPO_S,SPEEDUP,EFICIENCIA_PCT,RESULTADO
multithreads,4,0.099968427,1.23,30.8,500105.53243755037
multithreads,3,0.100182983,1.23,41.0,500105.5324375535
threads,2,0.100217678,1.23,61.5,500105.53243754513
threads,4,0.106274105,1.16,29.0,500105.53243755037
multithreads,1,0.106338518,1.16,115.8,500105.5324375518
multithreads,2,0.110784149,1.11,55.6,500105.53243754513
threads,1,0.116773109,1.05,105.5,500105.5324375518
secuencial,1,0.123180175,1.0,100.0,500105.5324375518
threads,3,0.253022194,0.49,16.2,500105.5324375535
process,1,0.299770798,0.41,41.1,500105.5324375518
multiprocess,2,0.32204155,0.38,19.1,500105.53243754513
multiprocess,1,0.344238936,0.36,35.8,500105.5324375518
process,2,0.353698053,0.35,17.4,500105.53243754513
multiprocess,3,0.39768178,0.31,10.3,500105.5324375535
process,3,0.411831108,0.3,10.0,500105.5324375535
multiprocess,4,0.512337437,0.24,6.0,500105.53243755037
process,4,0.598888728,0.21,5.1,500105.53243755037
