CONTEXTO DEL EXPERIMENTO:,sobel 750
HARDWARE DETALLADO:,"CPU: Intel64 Family 6 Model 158 Stepping 10, GenuineIntel | 6 Cores | Windows 
GPU: NVIDIA GeForce GTX 1060 6GB | 1024 Threads | Warp: 32 | Max Dim: 1024 x 1024"
METODOLOGÍA:,Promedio de 5 iteraciones por método

Método,Workers,T_Transf_IN(s),T_RGB_Promedio(s),T_Sobel_Promedio(s),T_Total_Computo(s),T_Transf_OUT(s),%_Blancos,Speed-Up,Performance(%)
HARDWARE DETALLADO:,"CPU: Intel64 Family 6 Model 158 Stepping 10, GenuineIntel | 6 Cores | Windows 
GPU: NVIDIA GeForce GTX 1060 6GB | 1024 Threads | Warp: 32 | Max Dim: 1024 x 1024"
METODOLOGÍA:,Promedio de 5 iteraciones por método

Método,Workers,T_Transf_IN(s),T_RGB_Promedio(s),T_Sobel_Promedio(s),T_Total_Computo(s),T_Transf_OUT(s),%_Blancos,Speed-Up,Performance(%)
secuencial,1,0.00000000,32.37388468,165.94505884,198.31894352,0.00000000,0.00000000,1.00x,100.0%
numpy_cpu,1,0.00000000,0.37212598,1.73352258,2.10564856,0.00000000,0.00000000,94.18x,9418.4%
numba_cpu_paralelo,1,0.00000000,0.05270446,0.18460628,0.23731074,0.00000000,0.00000000,835.69x,83569.3%
numba_gpu_11_9,1,0.07014582,0.02152248,0.03007966,0.05160214,0.01632160,0.00000000,3843.23x,384323.1%
numba_gpu_8_8,1,0.06982756,0.01852076,0.02058976,0.03911052,0.01549826,0.00000000,5070.73x,507073.1%
numba_gpu_8_16,1,0.07897506,0.01182820,0.02047472,0.03230292,0.01598860,0.00000000,6139.35x,613935.0%
numba_gpu_8_128,1,0.07236560,0.00769972,0.02089888,0.02859860,0.01598386,0.00000000,6934.57x,693456.8%
numba_gpu_16_8,1,0.06828876,0.02011672,0.02043624,0.04055296,0.01604554,0.00000000,4890.37x,489036.9%
numba_gpu_16_16,1,0.06793178,0.01303250,0.02048970,0.03352220,0.01522626,0.00000000,5916.05x,591604.8%
numba_gpu_32_32,1,0.06537966,0.01568842,0.02261286,0.03830128,0.01557176,0.00000000,5177.87x,517786.7%
numba_gpu_128_8,1,0.06883432,0.01810304,0.02044600,0.03854904,0.01590582,0.00000000,5144.59x,514458.8%
pytorch_cpu,1,0.00000000,0.16665436,0.91130114,1.07795550,0.00000000,0.00000000,183.98x,18397.7%
pytorch_gpu,1,0.05770878,0.01687706,0.05030086,0.06717792,0.06531458,0.00000000,2952.14x,295214.5%
